	indicator	erytrocyty	smoker	weight	trombocyty	alp	hbver	etytr	relationship	ssn	leukocyty	ast	hematokrit	er-cv	hemoglobin	name	alt
0	1.00000	6.91767	yes	69.94161	6.50529	81.48900	7.30162	6.77497	separated	041-29-7959	6.17532	60.01609	7.12529	44.43192	6.01513	Blake Fox	0.88575
1	0.00000	9.70624	no	117.24842	6.83699	43.40520	7.90707	7.82625	married	183-58-0483	9.41015	56.79596	5.22638	48.17707	8.13065	Randy Solis	6.09530
2	1.00000	7.88145	yes	83.97086	7.75608	38.21236	6.81795	5.04172	widowed	411-84-5693	7.27551	63.29051	5.47408	29.81102	4.51670	Phillip Miranda	1.53154
3	1.00000	6.63073	yes	125.82753	6.06728	88.20804	7.63231	5.57008	divoced	028-84-2760	5.75381	26.62704	6.74435	52.06123	5.92597	Mark Watson	0.58661
4	1.00000	9.09638	no	50.70530	7.90158	90.12868	8.75450	6.83533	married	375-37-7701	6.77832	32.74759	7.86582	51.68909	6.26871	Patrick Oliver	3.33738
5	1.00000	7.68830	no	69.59826	6.48349	50.66260	6.88872	4.93750	nop	731-81-0159	6.10602	40.21942	7.00782	63.09895	4.62414	Kristine Miller MD	1.25812
6	0.00000	7.64307	no	74.34930	7.42790	40.82871	8.20752	7.67810	single	553-37-2806	7.47675	61.28585	6.72728	59.05395	4.60392	Kyle Baker	1.38676
7	1.00000	4.25952	no	56.95737	7.67308	89.95765	5.81226	3.82459	divoced	583-10-6506	7.25957	48.32301	6.62965	55.46804	6.47858	Sandra Johnson	0.48917
8	0.00000	8.28158	no	71.91359	6.33067		4.87045	5.23430	divoced	277-29-1034	5.68281	52.91985	5.53885	69.33175	5.84806	Carla Martinez	1.76242
9	1.00000	8.53912	Y	115.11902	5.87811	62.97145	7.26874	5.51548	married	051-29-1250	6.89543	37.35153	7.35179	62.48394	4.98244	Kevin Rodriguez	2.13529
10	1.00000	5.56810	yes	55.67718	6.61251	24.69892	5.87813	8.10572	married	676-54-8476	7.98623	34.44311	6.80432	42.82283	8.51504	Jessica Roberson	0.86062
11	1.00000	4.70410	no	70.04794	7.52390	52.94714	5.99559	5.69800	married	289-63-3534	8.16347	40.03023	7.57101	71.18011	7.78376	Dalton Mckee	0.39325
12	1.00000	7.34510	no	61.62408	6.29970	70.97006	7.66504	5.74758	single	374-79-7181	7.89840	35.29202	6.19003	30.53461	5.37150	Alexis Myers	1.23036
13	1.00000	6.85543	yes	114.62105	5.55048	18.64337	5.64877	8.51316	separated	191-44-5378	5.93810	54.28862	7.32030	53.29294	8.79510	Lynn Bryant	0.79178
14	1.00000	5.27745	no	58.66531	6.71386	60.82891	5.76225	5.32774	married	260-03-4664	6.92670	54.19675	6.91051	51.70047	7.67713	Veronica Bailey	0.62921
15	0.00000	7.98359	Y	5.82391	8.24563	48.23812	9.45596	7.77787	single	516-35-6065	6.93158	63.44422	7.62872	60.85428	4.74108	Joel Ramos	1.45822
16	0.00000	10.20868	Y	26.95979	5.18493	49.55286	9.38964	7.33804	widowed	179-64-1356	7.04086	71.04811	8.67403	33.02306	7.85918	Todd Fleming	9.77263
17	1.00000	6.37303	no	107.78793	6.97903	33.35339	5.57183	5.47533	married	288-59-5260	8.72538	43.56751	6.49149	59.61374	8.20749	Michael Santiago	0.90456
18	1.00000	5.49699	no	96.05676	6.39086	88.63225	7.57115		single	408-71-2007	6.35070	43.45383	5.87962	50.89948	5.94830	Amanda Jones	0.56006
19	0.00000	8.90309	no	123.89910	7.49797	74.29279	7.36735	7.85150	divoced	237-73-2071	5.55014	47.49939	5.66960	86.43117	6.95201	Jordan Gordon	2.88375
20	1.00000	4.16118	no	14.56956	6.15746	88.08695	5.82369	5.11344	nop	437-77-6787	7.14197	76.50451	9.00022	62.63731	6.92332	Jason Fisher	0.56659
21	1.00000	6.42450	Y	84.32332	8.21811	44.67391	5.48389	4.60366	divoced	129-59-7933	7.08725	52.99025	6.39410	35.88582	7.90028	Brittany Perkins	0.75983
22	0.00000	7.74863	yes	51.19527	8.11566	74.87065	5.52499	5.17174	separated	515-48-8674	7.14033	47.97341	6.32008	33.22254	5.68620	Mr. Frank Williams DDS	1.39610
23	1.00000	7.44026	no	115.77286	7.69202	87.60880	8.45439	5.71277	single	185-04-0294	6.22830	56.15026	6.55604	59.81236	6.28416	Janet Wells	0.94704
24	0.00000	8.99761	no	51.48173	6.18642	64.09348	5.31503	6.77396	widowed	576-25-2775	8.23898	59.11754	8.38018	42.11869	4.92679	Kristin Gibson	3.35937
25	1.00000	7.32506	Y	-18.03092	6.31001	31.68831	5.46142	5.57509	married	256-03-2240	7.79028	45.94838	7.20037	66.81159	8.36315	Megan Duke	1.03044
26	1.00000	8.43581	yes	77.18479	7.38978	44.99994	7.72841	3.87762	married	805-66-4581	7.29579	40.67875	7.85824	58.63987	4.50111	Aaron Wells	2.19676
27	1.00000	4.09894	yes	58.44142	7.71940	38.09988	5.92545	5.85338	separated	377-38-8430	6.83502	32.54845	7.67247	53.67841	8.18823	Melissa Byrd	0.48108
28	1.00000	8.49991	yes	84.90579	7.35038	83.01630	8.27652	5.35479	single	101-38-4199	6.64899	72.78893	6.92721	55.85135	5.44246	Michael Cummings	2.39828
29	0.00000	9.72128	Y	48.97382	7.83879	76.92793	8.31081	5.26267	separated	412-09-5321	6.74033	49.49670	8.04825	76.30701	6.94688	Leslie Hoover	5.89101
30	0.00000	8.28649	yes	72.34715	5.96643	90.26855	8.51799	8.18622	single	408-35-5630	6.21136	50.39216	7.87679	71.39776	5.89814	Louis Montes	1.89587
31	1.00000	5.83875	no	97.51972	6.54910	73.62861	5.59747	4.03351	divoced	739-17-5664	5.45653	70.79031	9.13686	65.65169	6.94201	Keith Hart	0.77067
32	1.00000	7.73387	Y	76.71057	7.47636	64.31669	9.28168	7.73744	widowed	035-74-3161	7.05839	54.91093	6.88284	35.79606	7.42637	Dustin Juarez	1.30231
33	1.00000	9.71444	no	41.06615	7.34366	29.77863	7.52999	4.38893	married	188-33-6818	7.55023	51.70286	7.30996	52.05833	4.11629	Wanda Brown	6.13240
34	1.00000	10.09902	Y	90.51355	7.52147	55.85592	8.30847	4.72706	single	186-72-0227	7.07152	66.83261	7.12741	48.36406	4.90079	Dawn Brown	8.67960
35	1.00000	10.27451	yes	113.12342	4.93112	16.14875	7.29338	4.12128	divoced	762-99-5804	7.37508	36.33962	4.27448	73.81167	3.81529	Leslie White	10.28398
36	1.00000	8.92491	yes	96.61259	6.34800	46.10646	10.00733	8.65617	nop	604-71-6771	7.30233	49.98751	6.92914	54.35402	7.88955	Raymond Massey	3.18192
37	0.00000	9.03506	no	89.91680	6.30214	91.00763	8.85127	7.09134	divoced	099-96-5663	7.32002	54.72393	6.72865	52.77703	6.23410	Diane Young	3.49230
38	1.00000	5.78347	no	73.72899	8.15050	34.24233	5.66772	6.65577	separated	394-09-1349	7.10731	46.16513	6.59402	52.74510	8.28708	Mary Pena	0.57675
39	0.00000	6.63914	no	78.36030	6.20031	70.00403	5.21377	4.79249	separated	164-06-7814	7.41406	78.95390	8.44395	51.49384	5.11956	Katie Cruz	0.27765
40	1.00000	6.16833	no	65.69592	6.90595	73.90715	5.71741	4.37902	married	826-67-0920	6.72714	29.08696	6.02060	75.66020	7.21297	Keith Rogers	0.90307
41	0.00000	8.08096	Y	108.62426	8.67871	90.70876	6.34939	5.78531	separated	239-43-2397	6.98421	56.77470	7.20848	67.73440	6.34084	Denise Lopez	1.46947
42	0.00000	7.83020	Y	-9.40704	6.96197	82.65843	4.52285	4.71457	single	381-92-1533	8.82210	60.12454	9.17428	46.01604	5.87797	Brenda Wilson	1.35680
43	1.00000	7.14649	Y	9.33846	4.96305	86.47791	8.68568	6.00902	divoced	450-29-1696	4.33658	41.87965	5.35143	48.46777	6.52794	Dawn Jackson	1.24267
44	0.00000	8.19779	no	62.49923	6.76882	79.20683	6.19939	6.24859	separated	775-69-5299	6.47582	49.11198	8.43512	61.21162	5.58263	Emma Jacobs	1.69979
45	0.00000	7.52951	no	69.11377	7.45139	23.34317	6.23132	6.92643	married	477-94-3303	6.93326	45.33037	5.85550	70.17217	4.02513	Lindsey Booth	1.11024
46	1.00000	6.20847	yes	41.97683	5.69551	10.13306	5.92481	6.27774	married	154-61-5326	6.47240	60.93345	8.84875	59.72488	9.10445	Debbie Castro	0.71744
47	1.00000	5.93178	yes	-0.39520	5.92299	80.74392	5.40507	2.32552	married	041-11-8995	7.09765	59.91437	5.53929	55.66551	6.39055	Debra Rodriguez	0.70547
48	1.00000	5.80406	no	148.35833	8.18822	15.27763	5.92895	5.18119	married	550-17-8480	5.96168	48.65770	5.26829	75.32673	9.29539	William Greer	0.54715
49	1.00000	5.11000	no	86.71797	7.67290	63.64522	5.71274	3.77933	single	004-80-4500	6.33272	64.36325	6.58244	57.53020	7.61810	Tami Adams	0.48408
50	0.00000	8.15316	no	44.13708	6.44772	93.66703	3.30659	3.98586	married	066-12-3131	7.03684	63.69162	7.22017	38.69687	6.40855	Brian Riggs	1.80938
51	1.00000	10.19472	no	92.52955	6.66520	88.28630	9.27284	7.88695	nop	161-38-5680	5.99085	56.94207	7.19283	44.62453	6.77772	Michael Bowman	9.40778
52	0.00000	9.93376	no	85.67875	8.99443	40.01460	7.78821	6.62667	divoced	064-13-2040	7.08273	51.18658	7.30992	67.10032	8.12159	Nicholas Cline	7.64439
53	1.00000	10.16744	Y	50.44999	6.87988	89.27567	9.26939	7.08177	divoced	725-43-1250	7.40872	52.84958	7.08034	43.28486	6.24049	James Jones	9.40671
54	1.00000	7.41357	no	143.49805	8.35618	47.35384	9.43059	8.48839	married	057-86-2946	6.05130	49.68917	6.80829	49.46294	7.96138	Teresa Calderon	0.88431
55	1.00000	8.35074	no	109.14028	5.94346	87.67164	8.64357	5.24868	nop	034-47-9127	7.13963	65.14483	8.30363	41.92370	6.05801	Dr. Brian Johnson	1.75307
56	1.00000	3.31605	Y	40.40037	7.61161	90.91085	5.88195	4.90329	nop	732-81-2294	6.65608	66.21250	6.26921	55.44889	6.69590	Sara Fletcher	0.00743
57	0.00000	7.47416	no	88.00433	5.16190	92.45216	1.80289	2.96228	single	110-79-6481	7.03176	47.61474	7.71298	50.44244	6.46508	Bryan Reed	0.74286
58	0.00000	7.00773	no	58.70136	5.46427	21.99300	8.02891	8.73462	married	216-95-8227	6.45284	53.46694	6.86166	68.63756	3.98514	Elizabeth Allison	1.27826
59	0.00000	8.12241	yes	71.31717	6.31898	56.34632	8.81578	7.53374	single	222-59-8460	6.85519	72.15944	7.14623	53.25945	4.98674	Shawn Jones	1.76638
60	1.00000	8.05107	yes	124.80938	8.18252	18.17800	5.50251	6.08808	single	536-35-8324	6.56911	64.74911	5.85073	39.54508	8.83752	Kelly Cooley	1.22852
61	1.00000	7.83461	no	82.24504	7.73221	86.47370	7.84250	6.41337	nop	167-03-1907	7.00626	53.96579	5.74865	57.29268	5.91111	Christine Sexton	1.33040
62	1.00000	8.30577	no	110.67226	6.63920	84.20271	8.61307	5.94786	divoced	597-05-0821	6.75802	42.64717	6.83416	46.33019	5.95430	Jessica Davis	1.81506
63	1.00000	5.03499	Y	41.27645	8.75873	21.01268	5.76743	5.92070	married	549-31-6121	7.47826	48.66444	6.30886	56.24557	8.79064	Valerie Miller	0.66987
64	0.00000	7.81892	no	104.65601	6.84563	88.06067	6.99003	5.85681	married	199-12-9545	6.82751	74.83623	7.19784	67.22857	6.70112	Jimmy Dawson	1.34769
65	1.00000	4.01853	no	79.50371	6.23579	58.29267	5.97911	5.08051	divoced	885-39-7522	7.52311	44.59042	6.66834	21.69349	7.63409	Shawn Franklin	0.51496
66	1.00000	5.61635	no	25.91615	5.85693	26.89502	5.83405	7.03221	single	029-79-0829	5.95626	36.28126	7.64947	38.18016	8.58640	Richard Franklin	0.88119
67	0.00000	7.35050	N	84.18441	8.46667	81.07267	5.11201	4.71777	widowed	612-88-9638	6.16706	55.41116	7.11491	60.17590	5.75362	Benjamin Compton	1.11905
68	1.00000	9.59653	no	100.73082	6.59640	42.40718	8.30300	3.88034	married	014-77-1958	6.91979	45.33087	7.56302	48.54167	4.65064	Sean Strong	
69	1.00000	8.50713	no	59.25934	6.36832	17.76248	6.84490	3.63539	separated	538-73-7091	7.26617	54.42362	8.48674	37.64246	3.95459	Erin Dunlap	2.21677
70	1.00000	4.26582	yes	45.12108	5.69215	43.21066	5.95918	7.48569	separated	620-76-3328	8.41760	68.02785	8.00454	39.41994	7.87732	Mr. Raymond Martinez DDS	0.49953
71	1.00000	6.52567	yes	62.22148	5.80969	82.11648	7.98040	7.39377	single	258-93-9238	6.45059	38.27892	6.79961	58.94137	6.78860	Linda Donovan	0.85700
72	1.00000	5.80635	no	38.10738	6.24563	35.23644	5.62681	4.85019	nop	860-20-3965	8.34423	32.74934	7.20952	33.34907	8.01548	Louis Ballard	0.43402
73	0.00000	6.83630	no	66.18350	6.59500	66.11137	6.12217	6.09702	divoced	028-50-0364	7.91081	46.11807	6.91486	61.65036	5.09034	William Vasquez	0.94911
74	1.00000	8.21151	Y	82.49447	5.98173	44.99660	6.94456	5.64944	divoced	444-61-3874	7.06892	47.94973	7.44651	54.41694	4.71124	Keith Cruz	1.70175
75	1.00000	10.41241	Y	20.91269	8.54579	65.54786	7.97834	6.52062	married	223-92-6862	7.85508	46.13089	5.82655	66.59287	5.26104	Bruce Glenn	11.54149
76	1.00000	5.96422	no	115.31612	7.76735	72.85300	7.66282	3.95785	single	493-16-4491	6.85821	57.08653	8.47996	36.33065	5.51111	John Avila	0.54622
77	1.00000	6.86191	Y	73.29158	6.96241	79.22741	8.15745	7.44009	divoced	447-68-2705	6.76206	65.28336	5.47628	53.42899	6.92129	Lauren Ritter	1.07123
78	1.00000	7.90962	Y	99.51201	7.16972	86.47961	8.49857	5.98064	separated	876-07-4632	6.68559	65.15752	6.43938	40.33421	6.26822	Mark Humphrey	1.31667
79	1.00000	5.63071	yes	17.06129	7.20508	46.80655	5.62135	6.82116	divoced	761-47-1907	7.61521	46.82045	6.10050	60.78282	8.11903	Jerry Horne	0.53985
