	race	job	blood_group	birthdate	sex	name	company	ssn	residence
0	Asian	Accountant, chartered certified	B-	06/17/1921, 00:00:00	F	Patricia Brown	Rodriguez Ltd	662-96-0314	"PSC 9750, Box 8721
APO AA 13540"
1	White	IT sales professional	B-	1920/06/02	F	Gina Caldwell	Hunt-Morse	867-83-9688	"778 Malik Pass Apt. 777
Gonzalesshire, AK 39175"
2	Asian	Communications engineer	AB-	1987-09-28	F	Melissa Sexton	Solis PLC	151-28-6496	"8847 Fleming Mountains
Sanchezside, WY 64944"
3	White	Make	AB-	10 Nov 1992	F	Tina Parker	Spencer-Gray	800-81-5887	"801 Andrea Row Suite 260
Floreston, CT 93023"
4	White	Surveyor, insurance	B+	2021-07-11	M	Robert Roman	Thomas, Brown and Davies	031-36-4415	"550 Joseph Overpass Apt. 184
New Jamesport, MS 06555"
5	Black	Ecologist	AB+	1928-04-21	F	Alison Miller	Velasquez, Pineda and Skinner	527-79-6047	"11837 Greer Inlet
Ericfurt, NJ 92286"
6	Black	Barrister	A-	2011/05/07	M	Barry Beard	Evans PLC	273-72-1058	"320 Matthews Unions
New Andrew, MS 90159"
7	Asian	Management consultant	A-	1919/03/15	M	Jack Davila	Roth-Benson	024-71-7948	"722 Wallace Cove
Bryanmouth, UT 38075"
8	White	Politician's assistant	O-	2009/12/04	F	Briana Kelly	Anthony LLC	134-75-8037	"4879 Sandra Streets Suite 233
Lindaburgh, CA 56958"
9	White	Holiday representative	AB+	27 Mar 2010	M	Nicholas Campbell	Evans-Estrada	425-43-9029	"9090 Bates Trace Apt. 119
North Elizabethshire, RI 66983"
10	Asian	Teacher, English as a foreign language	A-	1947/07/23	F	Mrs. Lisa Brown	Anderson-Wood	633-08-8785	"Unit 3320 Box 3929
DPO AE 93602"
11	White	Buyer, retail	A-	2003-11-10	M	Dr. Brian Johnson	Kelly, Powell and Moreno	034-47-9127	"25363 Daniel Oval
Scottland, UT 77215"
12	Black	Maintenance engineer	AB+	1913/07/05	F	Rachael Figueroa	Mcbride Inc	679-85-0817	"067 Harper Branch
New Jeffrey, MI 25963"
13	White	Field trials officer	B-	26 Jul 2010	F	Debra Rodriguez	Steele and Sons	041-11-8995	"97342 Charles Center
West Roy, AK 90469"
14	Black	Recycling officer	A-	1980-02-09	M	Shawn Young	Myers Ltd	292-99-3793	"84283 Tiffany Gateway Apt. 704
Nicholasfurt, NM 94768"
15	White	Environmental consultant	B-	1991/04/19	M	Walter Bowman	Sims, Fowler and Guzman	723-95-7819	"6872 Richard Turnpike
Matthewmouth, UT 85650"
16	Asian	Air broker	B+	16 Aug 1917	F	Vanessa Stevens	Hudson, Smith and Lewis	539-89-3454	"495 Davies Islands
East Franciscochester, AK 23155"
17	White	Sports administrator	O+	1983/12/03	F	Stacie Jones	Harrison, Daniels and Olson	394-53-7144	"3551 Corey Springs
West Davidport, SC 27979"
18	White	Interpreter	B+	11/11/1966, 00:00:00	M	Craig Rodgers	Cervantes PLC	496-80-3840	"033 Hoover Lake Suite 058
Phillipberg, OR 46751"
19	White	Science writer	O-	09/08/1980, 00:00:00	M	Steven Chavez	Pace-Rubio	451-55-1052	"57865 Seth Keys
South Williammouth, WA 72185"
20	Hawaiian	Civil Service administrator	AB+	1982/08/30	M	Andrew Lopez	Wright-Allison	405-45-7767	"87914 Justin Isle Apt. 305
Clarkborough, NM 82962"
21	White	Engineer, petroleum	O-	1996/06/08	M	Juan Harmon	Henderson-Diaz	545-32-9578	"56379 Tina Rapids Suite 901
Lake Brandy, GA 60108"
22	Asian	Ophthalmologist	O+	1955-11-22	F	Jennifer Thomas	Jones, Curtis and Washington	696-89-0208	"367 Vasquez Prairie Suite 098
South David, SC 02796"
23	Indian	Psychologist, forensic	AB+	1951/06/05	M	Cameron Barnes	Thomas, Anderson and Wright	741-60-4760	"1117 Jeffrey Mall Suite 805
Lake Jesse, CO 48577"
24	White	Investment analyst	A-	1926-07-06	M	Manuel Yoder	Garcia, Miller and Andrews	070-09-2517	"33931 Scott Squares Suite 961
Brandonhaven, IA 27516"
25	Black	Careers adviser	B+	1941-06-22	M	Craig Miles	Morrison, Shaffer and Page	050-43-5350	"375 Juan Ford
Johnborough, OK 81733"
26	White	Teaching laboratory technician	B+	05 Sep 1959	F	Rebecca Gibson	Wiggins Ltd	618-84-8411	"444 Hawkins Way
West Jamie, MS 13341"
27	Black	Sport and exercise psychologist	AB+	04 Sep 2021	M	Mark Smith	Beck LLC	295-97-5937	"073 Cody Radial
Port Frankmouth, ND 14889"
28	Hawaiian	Film/video editor	O+	1925-06-29	M	Vincent Lee	Fuller, Peterson and Perez	117-10-1142	"27034 Mccann Light Suite 032
Elizabethfort, NM 51642"
29	White	Learning disability nurse	AB-	1998-11-07	F	Anna Russell	Ellis PLC	886-37-7274	"9051 James Club
Brittneyport, FL 96975"
30	White	Doctor, general practice	B+	07/19/2013, 00:00:00	F	Anna Ramirez DDS	Williams Inc	125-14-3480	"2097 Burton Mews
Jenniferberg, OK 55765"
31	White	Make	O+	1970-09-29	F	Tammy King	Wood and Sons	784-50-2498	"Unit 1194 Box 2048
DPO AP 80541"
32	Asian	Surveyor, hydrographic	A-	09/16/1938, 00:00:00	F	Casey Delacruz	Randolph Group	349-25-1745	"75402 Arnold Drives
South Johnborough, NE 02398"
33	White	Landscape architect	B+	1986/10/20	F	Julie Flores	Harvey and Sons	211-74-6323	"37332 Renee Vista Suite 510
North Victoriaview, WY 28146"
34	White	Research officer, government	B-	08/29/1915, 00:00:00	M	Joseph Mcdaniel	Daniels-Dixon	009-27-0376	"4456 Krista Curve Suite 323
Stephanieside, MN 54998"
35	White	Surveyor, minerals	AB-	05 May 1919	F	Caitlyn Jones	Bridges Inc	653-65-9644	"99956 Andrea Prairie
East Ashley, AL 03760"
36	Asian	Outdoor activities/education manager	AB-	08/04/1990, 00:00:00	M	Thomas Wilson	Carney, Porter and White	863-70-4868	"181 Thomas Union
Lisaville, NH 47462"
37	Black	Metallurgist	A-	11 Nov 2019	M	Benjamin Fischer	Hayden and Sons	749-44-1871	"96462 Stevenson Divide Apt. 097
West Brianchester, CO 57386"
38	White	Arboriculturist	B-	04/02/2002, 00:00:00	M	Michael Allen	Parker Group	721-69-6242	"8947 Duncan Ford Apt. 459
East Emma, NM 79977"
39	White	Buyer, retail	A-	1998/10/21	M	Dale Williams	Hall LLC	094-23-7105	"570 John Mountain Suite 631
Rachelburgh, WI 83571"
40	Indian	Lighting technician, broadcasting/film/video	A+	1908/07/04	M	William Murray	Burke, Moore and Brown	182-46-0674	"0131 Edwards Court
Port Amanda, AL 85380"
41	White	Surveyor, commercial/residential	B+	1948-10-13	M	Casey Melton	Burch, Joyce and Castro	028-84-1398	"19487 David Greens Apt. 186
North James, NY 59322"
42	Black	Brewing technologist	A-	1963/05/18	F	Shelly Moore	Weaver, Vega and Clark	133-61-8597	"26375 Lacey Pass
Maryhaven, NH 24008"
43	Asian	Nurse, children's	AB+	28 Aug 1982	M	Benjamin Paul	Jackson-Cox	794-23-3069	"792 David Valley
Port Angelaburgh, VT 75456"
44	White	Catering manager	A+	1929/03/17	M	Adam Cisneros	Castaneda-Wright	417-90-4861	"56205 Davenport Ranch Suite 043
West Kristopher, MI 23963"
45	Asian	Phytotherapist	A+	1988/04/09	F	Cassandra Sanchez	Harmon-Hernandez	253-72-2125	"9366 Nichols Trail Suite 867
Wilsonbury, VA 94658"
46	White	Engineer, chemical	A-	1969-01-20	M	William George	Brown Ltd	832-18-4920	"3815 Kimberly Parkway Apt. 676
Jenniferton, WV 64596"
